Entity,Year,Liver,Breast,Stomach,Colon,Brain and nervous system,Leukemia
Guinea,2000-02-11,1773.0058216225561,346.58127411871436,655.6356318031069,266.92635018815344,50.976998666009045,171.10270299615487
Guinea,2005-05-15,2407.9406946407853,377.29665381439855,699.1753483121348,296.29981221139235,54.62722609324712,177.11940713463105
Guinea,2010-10-13,1902.1404982796773,433.3009952535569,773.1869837389926,339.4193334718741,63.509031173185065,196.31326778822486
Guinea,2015-06-08,2026.6774858008555,501.4483197285157,798.1446491995122,368.62652510573236,74.67858633413456,217.04826788526253
Guinea,2017-07-07,2051.737158484767,524.1139307973114,794.0468608688478,376.13490075320055,78.5588419652107,223.666612765071
Hungary,2000-02-11,993.3210558474992,2389.135682148233,2363.6207333532348,5276.151135369381,763.8653339006297,1124.9065530654473
Hungary,2005-05-15,1053.8447962350447,2333.6402629985823,2277.286871443398,5713.267478041195,664.378008779139,1261.2921184622196
Hungary,2010-10-13,1048.652730912377,2090.179807972237,2033.2906782101868,5734.044827703559,634.0972908593865,1193.9162543531793
Hungary,2015-06-08,948.257711670797,2259.6272647368505,1775.8488937377247,5588.437559090164,698.2293980476103,1058.001617127197
Hungary,2017-07-07,880.8224400912284,2071.713280649677,1621.1912039925103,5193.632828183928,628.6332829424356,961.5184478216173
Iceland,2000-02-11,9.195083615159117,36.387937526929655,31.19844779178243,49.408762265838156,18.471708473630947,24.442839063495782
