Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
Fiji,2010,8.50220615143721,8.105991166265257,147.229313482189,171.7124797155789,288.5524881886969
Fiji,2015,8.70345201645619,9.140769792014812,145.6310805261618,210.01233126017533,333.3470697841555
Fiji,2017,8.640428479693721,10.05507272404765,145.92195999959998,225.22290124465144,349.2226243320793
Finland,2000,9.52787458567234,24.10243170670898,679.1360860284483,6580.330714285229,3500.9956158947807
Finland,2005,9.491619344358387,23.84229824068161,594.1017475742625,6812.009825363921,3807.598829175992
Finland,2010,8.615414846979522,17.756173092066856,520.6257527546908,7389.917728282269,4060.317023586624
Finland,2015,6.840663231290687,16.279226929967283,418.4529262370256,7934.72830451872,4052.2912458585815
Finland,2017,6.710651204282732,18.277790362802147,412.61775965704425,8619.791708117042,4031.7077023144234
France,2000,146.85557142628784,262.51028000881286,11941.059533268764,92994.09096379751,52120.9361401315
France,2005,133.3097840879738,224.20902022169705,10632.692801122745,100594.25608305367,52973.03697547616
France,2010,135.08645065486795,218.423441020708,9404.66264154045,107630.51836821325,56663.4297014817
France,2015,142.22591216106568,214.803141983978,8022.161834958241,111158.29059616584,59947.004784795856
France,2017,136.24099199047137,207.18166375057652,7636.56720174938,114714.18466846972,59547.115253422155
Georgia,2000,16.57736535594163,33.19039220333236,727.5589042141651,1820.0369034256673,2309.087391394977
Georgia,2005,17.041646046364836,25.261028047710184,791.2504141311754,2234.0387957287844,2496.4441829324132
Georgia,2010,15.672433127216575,23.181391088201536,845.1063363163668,3094.4430149156933,2913.5597011227555
Georgia,2015,15.240517149997988,24.76406563781668,765.1333083073449,3429.687906519936,3830.424781360653
Georgia,2017,14.134754809195533,22.412592075068307,776.3830520305963,3183.804576823173,3928.903840701746
Germany,2000,134.5709395914387,278.49226337762,13237.44717064136,121684.55037090713,78677.78310927632
Germany,2005,110.50369329564863,234.5986745338989,12045.591208161335,126673.5670317157,76746.16076278286
Germany,2010,96.76754808622286,197.6839873245488,10910.718940157643,147038.02351965845,72707.02318519018
Germany,2015,103.23948597138045,175.26319984109472,9198.592540641921,162953.22161295413,74307.11440558816
Germany,2017,104.4203565082323,178.2610869580494,9123.608990043474,164677.01034791177,78680.06571234454
Ghana,2000,444.1700393238353,264.8264885230732,2632.3615320179433,3273.966975844204,4475.1668489240665
Ghana,2005,284.00527357492734,181.6884130319294,2621.7690424018992,3779.745330398258,4939.418872360968
Ghana,2010,209.76826186248147,168.8399266500649,2969.40415170258,4513.4547606893,5774.44899718062
Ghana,2015,324.73650255494505,235.53996210618075,3594.9892606410585,5381.981466389303,6888.7405241558945
Ghana,2017,346.06597371133523,251.2075069794437,3829.6564573976643,5740.440312408517,7391.357230683744
Greece,2000,20.785578484199323,41.60264193804402,1500.2220965193094,15616.087250343113,8475.322259126753
Greece,2005,18.536036755935122,41.099616395251225,1507.8226447774027,18672.250550045334,8239.484278685324
Greece,2010,20.2180191391258,37.24077129967488,1452.5656858447735,19144.5094319418,8165.1916835209995
Greece,2015,16.395270894255354,30.305109875076923,1319.4675923056518,20359.862532024657,8917.326793918779
Greece,2017,15.207411691469705,29.21078415906415,1293.533280614763,21064.361510296752,8842.922314028005
Grenada,2000,0.6025755800103337,1.0564746494633364,16.038408506471278,46.44538279757927,38.375584272560495
Grenada,2005,0.6142270280701756,1.0724515251655955,18.13497492601552,59.922477037791815,49.99481686361186
Grenada,2010,0.5382019436384106,1.132328238340617,20.455461213761406,96.28090552243263,60.153005125230024
Grenada,2015,0.4044671648905285,0.9964017864973188,20.325189728070157,125.31135525334636,69.04189716392965
Grenada,2017,0.3621736948489562,0.9380652705891768,20.15865012833795,135.7379177050692,70.85903571391745
Guinea,2000,197.19475951019402,88.90113017109651,1157.9996537964591,2449.0541864019488,2561.020490327959
Guinea,2005,192.66624617540757,94.52692068487852,1379.5303616363544,2806.881193301369,2879.952924621384
Guinea,2010,198.90327268825328,94.77643615869015,1436.7765777877862,2657.273094100771,2993.477420345705
Guinea,2015,216.23569826255843,115.12108720798271,1647.5082479193964,2604.5545620164953,3386.590223873693
Guinea,2017,223.45566391163345,120.12369218579212,1705.9219964858967,2586.602387814713,3488.592955445717
Hungary,2000,29.341848582230615,55.809332197360774,3661.917721880697,16502.916741932106,14672.24045481604
Hungary,2005,21.221628335083533,40.42090381197739,3057.0304470361143,17671.80350709842,16003.880656654681
Hungary,2010,17.32563122242638,31.706499610450248,2167.2298342425797,17226.133704210668,16148.228985854517
Hungary,2015,16.7591324097391,29.11330284319924,1882.6353418242495,17211.034203057105,15821.888480613608
Hungary,2017,15.086641015273704,26.80636571246452,1637.809748372046,16039.689399284249,14418.68633236674
Iceland,2000,0.8574029794880457,1.7083780399809347,35.38306123584747,310.40675276128445,155.59884825573468
Iceland,2005,0.8200538522339953,1.7126040927583903,35.031759229431984,333.95702744233637,155.5288705608691
Iceland,2010,0.877463852743375,1.7454452527902606,34.697328000883694,358.6945925736219,175.12815614898034
Iceland,2015,0.7819607140411363,1.603523759435423,32.674555597581985,390.98717508871835,201.9288028107814
Iceland,2017,0.7343339234899809,1.5451732454966867,32.362007697654555,406.1248143031537,211.57977245751977
India,2000,7637.461776822115,13284.745191720953,119150.67860255727,137142.74120438978,236949.4930718104
India,2005,6903.763876986604,12737.359869942307,122462.09852752124,171249.48542210695,251922.2053433341
India,2010,6160.426068503563,12151.199602568622,143908.64072639108,229412.9254986139,308715.2948953794
India,2015,5989.107577042904,9059.672477391545,154776.92731780148,285934.5212074939,400764.3240593379
India,2017,5379.723010514905,8566.829243128865,164703.40780262958,313170.5837980954,437679.60504830955
Indonesia,2000,1863.6303086072887,2420.1040519764824,31256.37720228402,38178.89614071664,59591.83186216393
